"","protname","zscore","cscore","gmpdprotname","tm_close","tm_nonclose","tm_vector","tm_intermediate","parphylum","parclass","parorder","parfamily"
"15","Eimeria kamoshika",-1,3,"Eimeria kamoshika",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"16","Eimeria mayeri",-1,3,"Eimeria mayeri",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"17","Eimeria rangiferis",-1,3,"Eimeria rangiferis",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"18","Eimeria serowi",-1,3,"Eimeria serowi",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"19","Elyplastron bubali",-1,3,"Elyplastron bubali",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"20","Entamoeba histolytica",1,3,"Entamoeba histolytica",NA,NA,NA,NA,"Sarcomastigophora","Lobosea","Amoebida","Endamoebidae"
"21","Entodinium bicornutum",-1,3,"Entodinium bicornutum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"22","Entodinium bursa",-1,2,"Entodinium bursa",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"23","Entodinium caudatum",-1,1,"Entodinium caudatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"24","Entodinium dubardi",-1,2,"Entodinium dubardi",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"25","Entodinium furca",-1,3,"Entodinium furca",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"26","Entodinium minimum",-1,2,"Entodinium minimum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"27","Epidinium bulbiferum",-1,3,"Epidinium bulbiferum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"28","Epidinium caudatum",-1,2,"Epidinium caudatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"29","Epidinium gigas",-1,3,"Epidinium gigas",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"30","Eudiplodinium maggi",-1,3,"Eudiplodinium maggi",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"31","Metadinium medium",-1,2,"Metadinium medium",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"32","Ostracodinium gracile",-1,2,"Ostracodinium gracile",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"33","Ostracodinium mammosum",-1,3,"Ostracodinium mammosum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"34","Ostracodinium trivesiculatum",-1,3,"Ostracodinium trivesiculatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"35","Paraisotricha minuta",-1,3,"Paraisotricha minuta",NA,NA,NA,NA,"Ciliophora","Litostomatea","Vestibuliferida","Paraisotrichidae"
"36","Paraplagiopyla kiboko",-1,3,"Paraplagiopyla kiboko",NA,NA,NA,NA,"Ciliophora","Plagiopylea","Plagiopylida","Plagiopylidae"
"37","Parentodinium africanum",-1,3,"Parentodinium africanum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Parentodiniidae"
"38","Parentodinium ostrea",-1,3,"Parentodinium ostrea",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Parentodiniidae"
"39","Polyplastron multivesiculatum",-1,2,"Polyplastron multivesiculatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"40","Prototapirella gorillae",-1,3,"Prototapirella gorillae",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"41","Sarcocystis alces",-1,3,"Sarcocystis alces",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"42","Sarcocystis hardangeri",-1,3,"Sarcocystis hardangeri",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"43","Sarcocystis ovalis",-1,2,"Sarcocystis ovalis",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"44","Sarcocystis scandinavica",-1,3,"Sarcocystis scandinavica",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"45","Spirodinium equi",-1,3,"Spirodinium equi",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Spirodiniidae"
"46","Tetratoxum parvum",-1,3,"Tetratoxum parvum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ditoxidae"
"47","Tetratoxum unifasciculatum",-1,3,"Tetratoxum unifasciculatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ditoxidae"
"48","Triadinium galea",-1,3,"Triadinium galea",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Spirodiniidae"
"49","Troglocorys cava",-1,2,"Troglocorys cava",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae"
