protname,dom_hostname,cattle,sheep,goat,dog,cat,pig,horse,chicken,numdomhosts
Plasmodium schwetzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium shortii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium simiovale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium simium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium vivax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium youngi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyplastron multivesiculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prototapirella gorillae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Retortamonas intestinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis alces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis alceslatrans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis arctosi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis arieticanis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis axicuonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis camelopardalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis capracanis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis capreolicanis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis danzani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis dubeyella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis elegans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis felis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis fusiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis gazellae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis giraffae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis grueneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis hardangeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis hemioni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis hemionilatrantis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis hominis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis kirkpatricki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis klaseriensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis melampi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis mephitisi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis mongolica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis neurona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis odocoileocanis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis ovalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis phacochoeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis rangi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis scandinavica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis sebeki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis tarandivulpes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis ursusi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis woodhousei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis youngi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
