"","ID","protname","hostname","zscore","cscore","tm_close","tm_nonclose","tm_vector","tm_intermediate","parphylum","parclass","parorder","parfamily","hosttype","hostorder","hostfamily","hostenv","lat","long","location","numhosts","numsamples","prev"
"31",31,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.47,8.47,"Norway",868,868,0.137
"32",32,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.47,8.47,"Norway",1117,1117,0.118
"33",33,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.47,8.47,"Norway",2142,2142,0.126
"34",34,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.47,8.47,"Norway",890,890,0.183
"35",35,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.47,8.47,"Norway",578,578,0.121
"36",36,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.47,8.47,"Southern Norway",116,116,0.172
"37",37,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.47,8.47,"Western Norway",26,26,0.192
"38",38,"Trypanosoma cervi","Alces alces",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.49,151.06,"Kenai Moose Research Center, Soldatna,  Alaska",1,1,1
"39",39,"Trypanosoma cervi","Alces alces",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.49,151.06,"Kenai Moose Research Center, Soldatna,  Alaska",1,1,1
"40",40,"Trypanosoma cervi","Alces alces",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.49,151.06,"Kenai Moose Research Center, Soldatna,  Alaska",1,1,1
"41",41,"Plasmodium brasilianum","Alouatta belzebul",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",NA,NA,"South America",1428,1428,0.139
"42",42,"Trypanosoma minasense","Alouatta belzebul",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"43",43,"Trypanosoma minasense","Alouatta belzebul",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"44",44,"Trypanosoma mycetae","Alouatta belzebul",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"45",45,"Trypanosoma mycetae","Alouatta belzebul",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"46",46,"Trypanosoma mycetae","Alouatta belzebul",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-1.998127,-54.93062,"State of Para, Brazil",34,34,0.059
"47",47,"Balantidium aragaoi","Alouatta caraya",-1,3,1,1,0,0,"Ciliophora","Litostomatea","Vestibuliferida","Balantidiidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"48",48,"Giardia intestinalis","Alouatta caraya",0,1,1,1,0,0,"Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"49",49,"Plasmodium brasilianum","Alouatta caraya",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"50",50,"Retortamonas intestinalis","Alouatta caraya",0,2,1,1,0,0,"Metamonada","Eopharyngia","Retortamonadida","Retortamonadidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"51",51,"Trypanosoma cruzi","Alouatta caraya",3,1,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-34,-64,"Argentina",30,30,0.03
"52",52,"Trypanosoma cruzi","Alouatta caraya",3,1,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"53",53,"Trypanosoma cruzi","Alouatta caraya",3,1,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",1,1,1
"54",56,"Trypanosoma minasense","Alouatta caraya",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-34,-64,"Argentina",NA,NA,NA
"55",57,"Trypanosoma minasense","Alouatta caraya",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"56",58,"Trypanosoma mycetae","Alouatta caraya",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-34,-64,"Argentina",NA,NA,NA
"57",59,"Trypanosoma mycetae","Alouatta caraya",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"58",60,"Plasmodium brasilianum","Alouatta guariba",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-20,-40.75,"Espirito Santo, Brazil",8,8,0.87
"59",61,"Plasmodium brasilianum","Alouatta guariba",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-30.0346316,-51.2176986,"Rio Grande Do Sul, Brazil",45,45,0.08
"60",62,"Plasmodium brasilianum","Alouatta guariba",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-27,-50,"Santa Catarina, Brazil",65,65,0.18
"61",63,"Plasmodium brasilianum","Alouatta guariba",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-22,-49,"Sao Paulo",328,328,0.34
"62",64,"Plasmodium brasilianum","Alouatta guariba",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-22,-49,"Sao Paulo",NA,NA,NA
"63",65,"Plasmodium brasilianum","Alouatta guariba",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",NA,NA,"South America",NA,NA,NA
"64",66,"Plasmodium simium","Alouatta guariba",-1,2,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-20,-40.75,"Espirito Santo, Brazil",NA,NA,NA
"65",67,"Plasmodium simium","Alouatta guariba",-1,2,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-30.0346316,-51.2176986,"Rio Grande Do Sul",NA,NA,NA
"66",68,"Plasmodium simium","Alouatta guariba",-1,2,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-30.0346316,-51.2176986,"Rio Grande Do Sul, Brazil",45,45,0.13
"67",69,"Plasmodium simium","Alouatta guariba",-1,2,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-27,-50,"Santa Catarina, Brazil",NA,NA,NA
"68",70,"Plasmodium simium","Alouatta guariba",-1,2,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-27,-50,"Santa Catarina, Brazil",65,65,0.15
"69",71,"Plasmodium simium","Alouatta guariba",-1,2,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-22,-49,"Sao Paulo",NA,NA,NA
"70",72,"Plasmodium simium","Alouatta guariba",-1,2,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-22,-49,"Sao Paulo",328,328,0.29
"71",73,"Plasmodium simium","Alouatta guariba",-1,2,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-22,-49,"Sao Paulo",NA,NA,NA
"72",75,"Trypanosoma hippicum","Alouatta guariba",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",NA,NA,NA,NA,NA,NA
"73",76,"Trypanosoma minasense","Alouatta guariba",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"74",77,"Trypanosoma mycetae","Alouatta guariba",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"75",78,"Trypanosoma venezuelense","Alouatta guariba",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",NA,NA,NA,NA,NA,NA
"76",80,"Plasmodium brasilianum","Alouatta palliata",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",8.537981,-80.782127,"Panama",NA,NA,NA
"77",81,"Plasmodium brasilianum","Alouatta palliata",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",8.537981,-80.782127,"Panama",8,8,0.25
"78",82,"Plasmodium brasilianum","Alouatta palliata",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",8.537981,-80.782127,"Panama",66,66,0.01
"79",83,"Plasmodium brasilianum","Alouatta palliata",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",NA,NA,"South America",NA,NA,NA
"80",84,"Plasmodium simium","Alouatta palliata",-1,2,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",NA,NA,NA,NA,NA,NA
"81",85,"Trypanosoma cruzi","Alouatta palliata",3,1,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",18.25404,-92.20568,"Pochitocal, Mexico",19,19,0.105
"82",86,"Trypanosoma mycetae","Alouatta palliata",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",8.537981,-80.782127,"Panama",117,117,0.01
"83",87,"Entamoeba coli","Alouatta pigra",3,1,1,1,0,0,"Sarcomastigophora","Lobosea","Amoebida","Endamoebidae","primates","Primates","Atelidae","terrestrial",16.13,-90.94,"Biosfera Montes Azules, Chiapas, Mexico",NA,151,0.38
"84",88,"Giardia intestinalis","Alouatta pigra",0,1,1,1,0,0,"Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae","primates","Primates","Atelidae","terrestrial",17.55577,-88.53498,"Community Baboon Sanctuary, Belize",NA,NA,NA
"85",92,"Trypanosoma cruzi","Alouatta pigra",3,1,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",17.68724,-92.66097,"Carlos Green, Mexico",2,2,0.5
"86",93,"Trypanosoma cruzi","Alouatta pigra",3,1,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",18.25404,-92.20568,"Pochitocal, Mexico",6,6,0.333
"87",94,"Trypanosoma cruzi","Alouatta pigra",3,1,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",19.21345,-99.18466,"Tormento, Mexico",12,12,0.167
"88",95,"Trypanosoma minasense","Alouatta pigra",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",8.537981,-80.782127,"Panama",NA,NA,NA
"89",96,"Trypanosoma mycetae","Alouatta pigra",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",8.537981,-80.782127,"Panama",117,117,0.01
"90",97,"Blastocystis hominis","Alouatta seniculus",0,1,1,1,0,0,"Heterokontophyta","Blastocystea","Blastocystida","Blastocystidae","primates","Primates","Atelidae","terrestrial",-12.7,-69.2,"Tampobata Research Center",16,16,0.063
"91",98,"Chilomastix mesnili","Alouatta seniculus",0,1,1,1,0,0,"Metamonada","Eopharyngia","Retortamonadida","Chilomastigidae","primates","Primates","Atelidae","terrestrial",-12.7,-69.2,"Tampobata Research Center",16,16,0.063
"92",99,"Iodamoeba butschlii","Alouatta seniculus",0,1,1,1,0,0,"Amoebozoa","Archamoebae","Entamoebida","Entamoebidae","primates","Primates","Atelidae","terrestrial",-12.7,-69.2,"Tampobata Research Center",16,16,0.063
"93",100,"Plasmodium brasilianum","Alouatta seniculus",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-3.42,-65.86,"Amazonas",29,29,0.13
"94",101,"Plasmodium brasilianum","Alouatta seniculus",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-1.91,-59.46,"Balbina, Brazil",31,31,0.32
"95",102,"Plasmodium brasilianum","Alouatta seniculus",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",18,18,0.11
"96",103,"Plasmodium brasilianum","Alouatta seniculus",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",4.91,-53.08,"Petit Saut",122,114,0.184
"97",104,"Plasmodium brasilianum","Alouatta seniculus",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",1,-61,"Roraima",1,1,1
"98",105,"Plasmodium brasilianum","Alouatta seniculus",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",5.38,-52.95,"Sinnamary region",117,117,0.068
"99",106,"Plasmodium brasilianum","Alouatta seniculus",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",NA,NA,"South America",NA,NA,NA
"100",107,"Plasmodium brasilianum","Alouatta seniculus",3,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",NA,NA,"South America",93,93,0.21
"101",108,"Plasmodium falciparum","Alouatta seniculus",0,1,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",5.38,-52.95,"Sinnamary region",81,81,0.716
"102",109,"Plasmodium simium","Alouatta seniculus",-1,2,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",1,-61,"Roraima",1,1,1
"103",110,"Plasmodium vivax","Alouatta seniculus",0,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",5.38,-52.95,"Sinnamary region",81,81,0.272
"104",111,"Plasmodium vivax","Alouatta seniculus",0,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",5.38,-52.95,"Sinnamary region",81,81,0.025
"105",112,"Plasmodium vivax","Alouatta seniculus",0,3,0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","primates","Primates","Atelidae","terrestrial",5.38,-52.95,"Sinnamary region",81,81,0.136
"106",113,"Toxoplasma gondii","Alouatta seniculus",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","primates","Primates","Atelidae","terrestrial",3.933889,-53.125782,"French Guiana",50,50,0.04
"107",114,"Toxoplasma gondii","Alouatta seniculus",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","primates","Primates","Atelidae","terrestrial",4.91,-53.08,"Petit Saut",122,50,0.04
"108",115,"Trypanosoma cruzi","Alouatta seniculus",3,1,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",8,-66,"Venezuela",NA,NA,NA
"109",116,"Trypanosoma cruzi","Alouatta seniculus",3,1,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",8,-66,"Venezuela",NA,NA,NA
"110",117,"Trypanosoma hippicum","Alouatta seniculus",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",NA,NA,NA,NA,NA,NA
"111",118,"Trypanosoma lambrechti","Alouatta seniculus",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"112",119,"Trypanosoma lambrechti","Alouatta seniculus",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"113",120,"Trypanosoma lambrechti","Alouatta seniculus",-1,3,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
"114",121,"Trypanosoma minasense","Alouatta seniculus",-1,2,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","primates","Primates","Atelidae","terrestrial",-10,-55,"Brazil",NA,NA,NA
