"","protname","zscore","cscore","gmpdprotname","tm_close","tm_nonclose","tm_vector","tm_intermediate","parphylum","parclass","parorder","parfamily","zoostat"
"25","Cystoisospora ohioensis",-1,1,"Cystoisospora ohioensis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"26","Cytauxzoon felis",-1,2,"Cytauxzoon felis",0,0,1,1,"Apicomplexa","Aconoidasida","Achromatorida","Theileriidae",0
"27","Cytauxzoon manul",-1,2,"Cytauxzoon manul",0,0,1,1,"Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae",0
"28","Dientamoeba fragilis",0,1,"Dientamoeba fragilis",1,1,0,0,"Metamonada","Trichomonada","Trichomonadida","Monocercomonadidae",0
"29","Eimeria auburnensis",-1,2,"Eimeria auburnensis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"30","Eimeria bovis",-1,1,"Eimeria bovis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"31","Eimeria felina",-1,2,"Eimeria felina",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"32","Eimeria furonis",-1,3,"Eimeria furonis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"33","Eimeria ictidea",-1,3,"Eimeria ictidea",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"34","Eimeria macusaniensis",-1,2,"Eimeria macusaniensis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"35","Eimeria madisonensis",-1,3,"Eimeria madisonensis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"36","Eimeria mccordocki",-1,3,"Eimeria mccordocki",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"37","Eimeria melis",-1,2,"Eimeria melis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"38","Eimeria mephitidis",-1,3,"Eimeria mephitidis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"39","Eimeria nuttalli",-1,3,"Eimeria nuttalli",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"40","Eimeria odocoilei",-1,3,"Eimeria odocoilei",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"41","Eimeria pachylepyron",-1,3,"Eimeria pachylepyron",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"42","Eimeria vulpis",-1,2,"Eimeria vulpis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"43","Eimeria zuernii",-1,2,"Eimeria zuernii",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"44","Endolimax nana",0,1,"Endolimax nana",1,1,0,0,"Amoebozoa","Archamoebae","Mastigamoebida","Mastigamoebidae",0
"45","Entamoeba chattoni",1,1,"Entamoeba chattoni",1,1,0,0,"Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",1
"46","Entamoeba coli",3,1,"Entamoeba coli",1,1,0,0,"Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",1
"47","Entamoeba dispar",0,1,"Entamoeba dispar",1,1,0,0,"Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",0
"48","Entamoeba hartmanni",0,1,"Entamoeba hartmanni",1,1,0,0,"Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",0
"49","Entamoeba polecki",0,2,"Entamoeba polecki",1,1,0,0,"Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",0
"50","Entopolypoides macaci",-1,3,"Entopolypoides macaci",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"51","Giardia intestinalis",0,1,"Giardia intestinalis",1,1,0,0,"Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae",0
"52","Hepatocystis cercopitheci",-1,3,"Hepatocystis cercopitheci",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"53","Hepatocystis foleyi",-1,3,"Hepatocystis foleyi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"54","Hepatocystis kochi",-1,3,"Hepatocystis kochi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"55","Hepatocystis semnopitheci",-1,3,"Hepatocystis semnopitheci",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"56","Hepatocystis simiae",-1,3,"Hepatocystis simiae",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"57","Hepatocystis taiwanensis",-1,3,"Hepatocystis taiwanensis",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"58","Hepatozoon americanum",-1,2,"Hepatozoon americanum",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"59","Hepatozoon canis",-1,1,"Hepatozoon canis",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"60","Hepatozoon JM-1",-1,3,"Hepatozoon JM-1",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"61","Hepatozoon JM-2",-1,3,"Hepatozoon JM-2",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"62","Hepatozoon JM-3",-1,3,"Hepatozoon JM-3",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"63","Hepatozoon JM-4",-1,3,"Hepatozoon JM-4",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"64","Hepatozoon JM-5",-1,3,"Hepatozoon JM-5",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"65","Hepatozoon JM-6",-1,3,"Hepatozoon JM-6",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"66","Hepatozoon JM-7",-1,3,"Hepatozoon JM-7",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"67","Hepatozoon JM-8",-1,3,"Hepatozoon JM-8",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"68","Hepatozoon procyonis",-1,3,"Hepatozoon procyonis",0,0,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae",0
"69","Iodamoeba butschlii",0,1,"Iodamoeba butschlii",1,1,0,0,"Amoebozoa","Archamoebae","Entamoebida","Entamoebidae",0
"70","Isospora arctopitheci",-1,3,"Isospora arctopitheci",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"71","Isospora cebi",-1,3,"Isospora cebi",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"72","Isospora endocallimici",-1,3,"Isospora endocallimici",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"73","Isospora lutrae",-1,3,"Isospora lutrae",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"74","Isospora melis",-1,3,"Isospora melis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"75","Isospora papionis",-1,2,"Isospora papionis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"76","Isospora saimirae",-1,3,"Isospora saimirae",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"77","Isospora sengeri",-1,3,"Isospora sengeri",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"78","Isospora spilogales",-1,2,"Isospora spilogales",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"79","Isospora vulpis",-1,2,"Isospora vulpis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"80","Leishmania braziliensis",0,1,"Leishmania braziliensis",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"81","Leishmania chagasi",0,1,"Leishmania chagasi",0,0,1,1,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"82","Leishmania donovani",0,1,"Leishmania donovani",0,0,1,1,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"83","Leishmania infantum",0,1,"Leishmania infantum",1,0,1,1,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"84","Leishmania shawi",1,3,"Leishmania shawi",0,0,1,1,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",1
"85","Neospora caninum",-1,1,"Neospora caninum",1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"86","Pentatrichomonas hominis",0,1,"Pentatrichomonas hominis",0,1,0,0,"Metamonada","Parabasalia","Trichomonadida","Trichomonadidae",0
"87","Plasmodium brasilianum",3,3,"Plasmodium brasilianum",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",1
"88","Plasmodium coatneyi",-1,1,"Plasmodium coatneyi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"89","Plasmodium cynomolgi",2,2,"Plasmodium cynomolgi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",1
"90","Plasmodium eylesi",-1,3,"Plasmodium eylesi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"91","Plasmodium falciparum",0,1,"Plasmodium falciparum",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"92","Plasmodium fieldi",-1,2,"Plasmodium fieldi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"93","Plasmodium fragile",-1,2,"Plasmodium fragile",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"94","Plasmodium gaboni",-1,3,"Plasmodium gaboni",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"95","Plasmodium georgesi",-1,3,"Plasmodium georgesi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"96","Plasmodium girardi",-1,3,"Plasmodium girardi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"97","Plasmodium gonderi",-1,2,"Plasmodium gonderi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"98","Plasmodium hylobati",-1,3,"Plasmodium hylobati",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"99","Plasmodium inui",2,1,"Plasmodium inui",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",1
"100","Plasmodium jefferyi",-1,3,"Plasmodium jefferyi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"101","Plasmodium knowlesi",3,1,"Plasmodium knowlesi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",1
"102","Plasmodium rodhaini",-1,3,"Plasmodium malariae",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"103","Plasmodium petersi",-1,3,"Plasmodium petersi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"104","Plasmodium pitheci",-1,3,"Plasmodium pitheci",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"105","Plasmodium reichenowi",-1,2,"Plasmodium reichenowi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"106","Plasmodium schwetzi",-1,2,"Plasmodium schwetzi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"107","Plasmodium shortii",-1,3,"Plasmodium shortii",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"108","Plasmodium simiovale",0,1,"Plasmodium simiovale",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"109","Plasmodium simium",-1,2,"Plasmodium simium",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"110","Plasmodium vivax",0,3,"Plasmodium vivax",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"111","Plasmodium youngi",-1,1,"Plasmodium youngi",0,0,1,0,"Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae",0
"112","Retortamonas intestinalis",0,2,"Retortamonas intestinalis",1,1,0,0,"Metamonada","Eopharyngia","Retortamonadida","Retortamonadidae",0
"113","Sarcocystis alceslatrans",-1,3,"Sarcocystis alceslatrans",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"114","Sarcocystis americana",-1,2,"Sarcocystis americana",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"115","Sarcocystis arctosi",-1,3,"Sarcocystis arctosi",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"116","Sarcocystis arieticanis",-1,3,"Sarcocystis arieticanis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"117","Sarcocystis axicuonis",-1,3,"Sarcocystis axicuonis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"118","Sarcocystis camelopardalis",-1,3,"Sarcocystis camelopardalis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"119","Sarcocystis capracanis",-1,2,"Sarcocystis capracanis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"120","Sarcocystis capreolicanis",-1,3,"Sarcocystis capreolicanis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"121","Sarcocystis danzani",-1,3,"Sarcocystis danzani",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"122","Sarcocystis dubeyella",-1,3,"Sarcocystis dubeyella",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"123","Sarcocystis elegans",-1,3,"Sarcocystis elegans",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"124","Sarcocystis felis",-1,2,"Sarcocystis felis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"125","Sarcocystis fusiformis",-1,2,"Sarcocystis fusiformis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"126","Sarcocystis gazellae",-1,2,"Sarcocystis gazellae",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"127","Sarcocystis giraffae",-1,3,"Sarcocystis giraffae",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"128","Sarcocystis grueneri",-1,3,"Sarcocystis grueneri",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"129","Sarcocystis hemioni",-1,3,"Sarcocystis hemioni",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"130","Sarcocystis hemionilatrantis",-1,3,"Sarcocystis hemionilatrantis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"131","Sarcocystis hominis",1,1,"Sarcocystis hominis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",1
"132","Sarcocystis kirkpatricki",-1,3,"Sarcocystis kirkpatricki",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"133","Sarcocystis klaseriensis",-1,3,"Sarcocystis klaseriensis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"134","Sarcocystis melampi",-1,3,"Sarcocystis melampi",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"135","Sarcocystis mephitisi",-1,3,"Sarcocystis mephitisi",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"136","Sarcocystis mongolica",-1,3,"Sarcocystis mongolica",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"137","Sarcocystis neurona",-1,2,"Sarcocystis neurona",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"138","Sarcocystis odocoileocanis",-1,3,"Sarcocystis odocoileocanis",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"139","Sarcocystis phacochoeri",-1,3,"Sarcocystis phacochoeri",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"140","Sarcocystis rangi",-1,3,"Sarcocystis rangi",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"141","Sarcocystis sebeki",-1,3,"Sarcocystis sebeki",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"142","Sarcocystis tarandivulpes",-1,3,"Sarcocystis tarandivulpes",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"143","Sarcocystis ursusi",-1,3,"Sarcocystis ursusi",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"144","Sarcocystis woodhousei",-1,3,"Sarcocystis woodhousei",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"145","Sarcocystis youngi",-1,3,"Sarcocystis youngi",0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"146","Theileria annae",-1,1,"Theileria annae",0,0,1,0,"Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae",0
"147","Theileria bicornis",-1,1,"Theileria bicornis",0,0,1,0,"Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae",0
"148","Theileria buffeli",-1,1,"Theileria buffeli",0,0,1,0,"Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae",0
"149","Theileria cervi",-1,1,"Theileria cervi",0,0,1,0,"Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae",0
"150","Theileria mutans",-1,1,"Theileria mutans",0,0,1,0,"Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae",0
"151","Theileria parva",-1,1,"Theileria parva",0,0,1,0,"Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae",0
"152","Toxoplasma gondii",3,1,"Toxoplasma gondii",1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",1
"153","Trichomonas intestinalis",0,1,"Trichomonas intestinalis",1,0,0,0,"Metamonada","Parabasalia","Trichomonadida","Trichomonadidae",0
"154","Troglodytella abrassarti",-1,2,"Troglodytella abrassarti",1,0,0,0,"Ciliophora","Litostomatea","Entodiniomorphida","Troglodytellidae",0
"155","Trypanosoma brucei",-1,1,"Trypanosoma brucei",1,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"156","Trypanosoma cervi",-1,2,"Trypanosoma cervi",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"157","Trypanosoma congolense",-1,1,"Trypanosoma congolense",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"158","Trypanosoma cruzi",3,1,"Trypanosoma cruzi",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",1
"159","Trypanosoma cyclops",-1,3,"Trypanosoma cyclops",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"160","Trypanosoma devei",-1,3,"Trypanosoma devei",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"161","Trypanosoma diasi",-1,3,"Trypanosoma diasi",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"162","Trypanosoma evansi",-1,1,"Trypanosoma evansi",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"163","Trypanosoma hippicum",-1,3,"Trypanosoma hippicum",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"164","Trypanosoma irangiense",-1,3,"Trypanosoma irangiense",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"165","Trypanosoma lambrechti",-1,3,"Trypanosoma lambrechti",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"166","Trypanosoma lesourdi",-1,3,"Trypanosoma lesourdi",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"167","Trypanosoma minasense",-1,2,"Trypanosoma minasense",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"168","Trypanosoma mycetae",-1,3,"Trypanosoma mycetae",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"169","Trypanosoma perodictici",-1,3,"Trypanosoma perodictici",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"170","Trypanosoma pestanai",-1,3,"Trypanosoma pestanai",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"171","Trypanosoma primatum",-1,3,"Trypanosoma primatum",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"172","Trypanosoma rangeli",1,1,"Trypanosoma rangeli",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",1
"173","Trypanosoma sanmartini",-1,3,"Trypanosoma sanmartini",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"174","Trypanosoma simiae",-1,3,"Trypanosoma simiae",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"175","Trypanosoma theileri",-1,1,"Trypanosoma theileri",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"176","Trypanosoma venezuelense",-1,2,"Trypanosoma venezuelense",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"177","Trypanosoma vivax",-1,1,"Trypanosoma vivax",0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",0
"178","Babesia bicornis",-1,2,"Babesia bicornis",NA,NA,NA,NA,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"179","Babesia divergens",0,1,"Babesia divergens",NA,NA,NA,NA,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"180","Blepharocorys jubata",-1,3,"Blepharocorys jubata",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae",0
"181","Charonina hippopotami",-1,3,"Charonina hippopotami",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae",0
"182","Cycloposthium bipalmatum",-1,3,"Cycloposthium bipalmatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",0
"183","Cycloposthium corrugatum",-1,3,"Cycloposthium corrugatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",0
"184","Cycloposthium dentiferum",-1,3,"Cycloposthium dentiferum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",0
"185","Cycloposthium edentatum",-1,3,"Cycloposthium edentatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",0
