"","protname","normalised.degree","betweenness","weighted.betweenness","closeness","weighted.closeness","types","deg","bet","clos","eig"
"129","Plasmodium cynomolgi",0.0326530612244898,0.0161178004806356,0.0422787078624253,0.00477535166516889,0.00235058401276582,"FALSE",16,5424.65913978194,0,0.0415643852853019
"130","Plasmodium eylesi",0.00408163265306122,0,0,0.004192533154853,0.00162907848708629,"FALSE",2,0,0,0.00413157380463871
"131","Plasmodium falciparum",0.0204081632653061,0.00648036160744293,0.000317739513875677,0.00622299764240512,0.00258078117580272,"FALSE",10,1102.22147919411,0,0.133950049225397
"132","Plasmodium fieldi",0.00816326530612245,0,0,0.00360971464453711,0.00173515747177803,"FALSE",4,5.92275332921158,0,0.00210705632655139
"133","Plasmodium fragile",0.00816326530612245,0.0010676063475109,0,0.00457794539554576,0.00173526290497496,"FALSE",4,264.479475828897,0,0.0243145811077592
"134","Plasmodium gaboni",0.00408163265306122,0,0,0.00485995435215022,0.00171806293687375,"FALSE",2,0,0,0.0488932729110705
"135","Plasmodium georgesi",0.00816326530612245,5.09585895464385e-06,0,0.00481295285938281,0.00185013559797356,"FALSE",4,69.0708359910923,0,0.0459313948443731
"136","Plasmodium girardi",0.00408163265306122,0,0,0.00416433225919255,0.00162482575833824,"FALSE",2,0,0,0.00409628499623425
"137","Plasmodium gonderi",0.0285714285714286,0.000512488394485889,0.00971441837275783,0.00500095883045246,0.00257980240386715,"FALSE",14,2124.07886224895,0,0.0869081057951409
"138","Plasmodium hylobati",0.00408163265306122,0,0,0,NA,"FALSE",2,0,0,3.10899042658207e-17
"139","Plasmodium inui",0.0408163265306122,0.00700971691672359,0.00254296745498515,0.0045591447984388,0.00210601509747019,"FALSE",20,4646.98426269348,0,0.0184521245865666
"140","Plasmodium jefferyi",0.00408163265306122,0,0,0.004192533154853,0.00162907848708629,"FALSE",2,0,0,0.00413157380463871
"141","Plasmodium knowlesi",0.0122448979591837,0,0,0.00360971464453711,0.00173757946237546,"FALSE",6,39.5197130339372,0,0.00228117029755798
"142","Plasmodium petersi",0.00816326530612245,5.09585895464385e-06,0,0.00481295285938281,0.00185013559797356,"FALSE",4,69.0708359910923,0,0.0459313948443731
"143","Plasmodium pitheci",0.00408163265306122,0,0,0.00436173852881567,0.00168559232361964,"FALSE",2,0,0,0.0176487240854953
"144","Plasmodium reichenowi",0.00816326530612245,3.21636247859183e-05,9.34527981987285e-06,0.00488815524781067,0.0023031378608073,"FALSE",4,3.01074862971252,0,0.0827322429775149
"145","Plasmodium rodhaini",0.00408163265306122,0,0,0.00485995435215022,0.00171806293687375,"FALSE",2,0,0,0.0488932729110705
