"","gmpdprotname","parphylum","parclass","parorder","parfamily"
"86","Epidinium gigas","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"87","Eudiplodinium maggi","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"88","Giardia intestinalis","Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae"
"89","Gorillophilus thoracatus","Ciliophora","Olygohymenophorea","Hymenostomatia","Glaucomidae"
"90","Hammondia heydorni","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"91","Hepatocystis bovillezi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"92","Hepatocystis cercopitheci","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"93","Hepatocystis foleyi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"94","Hepatocystis kochi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"95","Hepatocystis semnopitheci","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"96","Hepatocystis simiae","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"97","Hepatocystis taiwanensis","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"98","Hepatozoon americanum","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"99","Hepatozoon canis","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"100","Hepatozoon JM-1","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"101","Hepatozoon JM-2","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"102","Hepatozoon JM-3","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"103","Hepatozoon JM-4","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"104","Hepatozoon JM-5","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"105","Hepatozoon JM-6","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"106","Hepatozoon JM-7","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"107","Hepatozoon JM-8","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"108","Hepatozoon procyonis","Apicomplexa","Coccidia","Eucoccidiorida","Hepatozoidae"
"109","Iodamoeba butschlii","Amoebozoa","Archamoebae","Entamoebida","Entamoebidae"
"110","Isospora africana","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"111","Isospora altaica","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"112","Isospora arctopitheci","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"113","Isospora cebi","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"114","Isospora endocallimici","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"115","Isospora hoogstraali","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"116","Isospora lutrae","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"117","Isospora martessii","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"118","Isospora melis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"119","Isospora papionis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"120","Isospora saimirae","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"121","Isospora sengeri","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"122","Isospora spilogales","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"123","Isospora vulpis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"124","Isospora zorillae","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"125","Leishmania braziliensis","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"126","Leishmania chagasi","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"127","Leishmania donovani","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"128","Leishmania infantum","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"129","Leishmania mexicana","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"130","Leishmania shawi","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"131","Metadinium medium","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"132","Neospora caninum","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"133","Ostracodinium gracile","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"134","Ostracodinium mammosum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"135","Ostracodinium trivesiculatum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"136","Paraisotricha minuta","Ciliophora","Litostomatea","Vestibuliferida","Paraisotrichidae"
"137","Paraplagiopyla kiboko","Ciliophora","Plagiopylea","Plagiopylida","Plagiopylidae"
"138","Parentodinium africanum","Ciliophora","Litostomatea","Entodiniomorphida","Parentodiniidae"
"139","Parentodinium ostrea","Ciliophora","Litostomatea","Entodiniomorphida","Parentodiniidae"
"140","Pentatrichomonas hominis","Metamonada","Parabasalia","Trichomonadida","Trichomonadidae"
"141","Plasmodium adleri","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"142","Plasmodium blacklocki","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"143","Plasmodium brasilianum","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"144","Plasmodium coatneyi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"145","Plasmodium cynomolgi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"146","Plasmodium eylesi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"147","Plasmodium falciparum","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"148","Plasmodium fieldi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"149","Plasmodium fragile","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"150","Plasmodium gaboni","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"151","Plasmodium georgesi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"152","Plasmodium girardi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"153","Plasmodium gonderi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"154","Plasmodium hylobati","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"155","Plasmodium inui","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"156","Plasmodium jefferyi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"157","Plasmodium knowlesi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"158","Plasmodium malariae","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"159","Plasmodium ovale","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"160","Plasmodium petersi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"161","Plasmodium pitheci","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"162","Plasmodium praefalciparum","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"163","Plasmodium reichenowi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"164","Plasmodium rodhani","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"165","Plasmodium schwetzi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"166","Plasmodium shortii","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"167","Plasmodium simiovale","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"168","Plasmodium simium","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"169","Plasmodium vivax","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"170","Plasmodium youngi","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae"
"171","Polyplastron multivesiculatum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"172","Prototapirella gorillae","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"173","Pseudolimax butschlii","information not found","information not found","information not found","information not found"
"174","Retortamonas intestinalis","Metamonada","Eopharyngia","Retortamonadida","Retortamonadidae"
"175","Sarcocystis alces","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"176","Sarcocystis alceslatrans","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"177","Sarcocystis americana","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"178","Sarcocystis arctosi","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"179","Sarcocystis arieticanis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"180","Sarcocystis axicuonis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"181","Sarcocystis camelopardalis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"182","Sarcocystis capracanis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"183","Sarcocystis capreolicanis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"184","Sarcocystis capricornis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"185","Sarcocystis cornagliai","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"186","Sarcocystis danzani","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"187","Sarcocystis dubeyella","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"188","Sarcocystis elegans","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"189","Sarcocystis felis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"190","Sarcocystis fusiformis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"191","Sarcocystis gazellae","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"192","Sarcocystis giraffae","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"193","Sarcocystis grueneri","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"194","Sarcocystis hardangeri","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"195","Sarcocystis hemioni","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"196","Sarcocystis hemionilatrantis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"197","Sarcocystis hominis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"198","Sarcocystis hydrurgae","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"199","Sarcocystis kirkpatricki","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"200","Sarcocystis klaseriensis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"201","Sarcocystis melampi","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"202","Sarcocystis mephitisi","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"203","Sarcocystis mongolica","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"204","Sarcocystis neurona","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"205","Sarcocystis odocoileocanis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"206","Sarcocystis ovalis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"207","Sarcocystis phacochoeri","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"208","Sarcocystis rangi","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"209","Sarcocystis scandinavica","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"210","Sarcocystis sebeki","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"211","Sarcocystis silva","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"212","Sarcocystis tarandivulpes","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"213","Sarcocystis ursusi","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"214","Sarcocystis woodhousei","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"215","Sarcocystis youngi","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"216","Spirodinium equi","Ciliophora","Litostomatea","Entodiniomorphida","Spirodiniidae"
"217","Tetratoxum parvum","Ciliophora","Litostomatea","Entodiniomorphida","Ditoxidae"
"218","Tetratoxum unifasciculatum","Ciliophora","Litostomatea","Entodiniomorphida","Ditoxidae"
"219","Theileria annae","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae"
"220","Theileria bicornis","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae"
"221","Theileria buffeli","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae"
"222","Theileria cervi","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae"
"223","Theileria mutans","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae"
"224","Theileria parva","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae"
"225","Toxoplasma gondii","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"226","Triadinium galea","Ciliophora","Litostomatea","Entodiniomorphida","Spirodiniidae"
"227","Trichomonas intestinalis","Metamonada","Parabasalia","Trichomonadida","Trichomonadidae"
"228","Troglocorys cava","Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae"
"229","Troglodytella abrassarti","Ciliophora","Litostomatea","Entodiniomorphida","Troglodytellidae"
"230","Trypanosoma advieri","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"231","Trypanosoma brimonti","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"232","Trypanosoma brucei","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"233","Trypanosoma cervi","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"234","Trypanosoma congolense","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"235","Trypanosoma conorhini","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"236","Trypanosoma cruzi","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"237","Trypanosoma cyclops","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"238","Trypanosoma devei","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"239","Trypanosoma diasi","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"240","Trypanosoma evansi","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"241","Trypanosoma forestali","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"242","Trypanosoma hippicum","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"243","Trypanosoma irangiense","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"244","Trypanosoma lambrechti","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"245","Trypanosoma lesourdi","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"246","Trypanosoma minasense","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"247","Trypanosoma mycetae","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"248","Trypanosoma perodictici","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"249","Trypanosoma pestanai","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"250","Trypanosoma primatum","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"251","Trypanosoma rangeli","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"252","Trypanosoma sanmartini","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"253","Trypanosoma simiae","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"254","Trypanosoma sp. TSD1","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"255","Trypanosoma theileri","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"256","Trypanosoma venezuelense","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
"257","Trypanosoma vivax","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae"
