"","ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final","XC_ZooScore","protname","ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","NameObservations","FLAG","NameID","NameCitation","ParType","ParPhylum","ParClass","ParOrder","ParFamily","StrainorSubsps"
"11","Diplodinium anacanthum","y","Diplodinium anacanthum","Diplodinium anacanthum F. monocanthum","Diplodinium anacanthum","yes","valid name in GBIF","","GBIF ID 10149336","http://www.gbif.org/species/112657534","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae","monocanthum"
"12","Diplodinium anacanthum","y","Diplodinium anacanthum","Diplodinium anacanthum F. anacanthum","Diplodinium anacanthum","yes","valid name in GBIF","","GBIF ID 10149336","http://www.gbif.org/species/112657534","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"13","Diplodinium dentatum","y","Diplodinium dentatum","Diplodinium dentatum","Diplodinium dentatum","yes","valid name in NCBI","","NCBI 47888","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"14","Diploplastron affine","y","Diploplastron affine","Diploplastron affine","Diploplastron affine","yes","valid name in NCBI","","NCBI 338344","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"15","Eimeria crispus","y","Eimeria crispus","Eimeria crispus","Eimeria crispus","yes","valid name in NCBI","","NCBI 5800","","Protozoa","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",""
"16","Eimeria hreindyria","y","Eimeria hreindyria","Eimeria hreindyria n. sp","Eimeria hreindyria","yes","Only description at discovery in reindeer","","Gudmundsdottir, B., & Skirnisson, K. ","Gudmundsdottir, B., & Skirnisson, K. (2006). The third newly discovered Eimeria species (Protozoa: Eimeriidae) described from wild reindeer, Rangifer tarandus, in Iceland. Parasitology research, 99(6), 659-662.","Protozoa","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",""
"17","Eimeria kamoshika","y","Eimeria kamoshika","Eimeria kamoshika","Eimeria kamoshika","yes","Only description at discovery in Japanese serow","","Couch, L., Uni, S., & Duszynski, D. W. ","Couch, L., Uni, S., & Duszynski, D. W. (2003). Eimeria species from serows (Capricornis spp.) in Japan with descriptions of two new species. Journal of Parasitology, 89(3), 580-584.","Protozoa","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",""
"18","Eimeria mayeri","y","Eimeria mayeri","Eimeria mayeri","Eimeria mayeri","yes","Few papers other than re-description in reindeer","","Gudmundsdottir, B., & Skirnisson, K. (2005). Description of a new Eimeria species and redescription of Eimeria mayeri (Protozoa: Eimeriidae) from wild reindeer Rangifer tarandus in Iceland. Journal of Parasitology, 91(2), 353-357.","Gudmundsdottir, B., & Skirnisson, K. (2005). Description of a new Eimeria species and redescription of Eimeria mayeri (Protozoa: Eimeriidae) from wild reindeer Rangifer tarandus in Iceland. Journal of Parasitology, 91(2), 353-357.","Protozoa","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",""
"19","Eimeria rangiferis","y","Eimeria rangiferis","Eimeria rangiferis n. sp","Eimeria rangiferis","yes","valid in papers","","Skírnisson, K., & Cuyler, C. ","Skírnisson, K., & Cuyler, C. (2015). Eimeria rangiferis (Protozoa: Eimeriidae) reported from caribou in Ameralik, West Greenland. Rangifer, 35(1), 25-32.","Protozoa","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",""
"20","Eimeria serowi","y","Eimeria serowi","Eimeria serowi","Eimeria serowi","yes","valid only in one paper","","Couch, L., Uni, S., & Duszynski, D. W. ","Couch, L., Uni, S., & Duszynski, D. W. (2003). Eimeria species from serows (Capricornis spp.) in Japan with descriptions of two new species. Journal of Parasitology, 89(3), 580-584.","Protozoa","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",""
"21","Elyplastron bubali","y","Elyplastron bubali","Elyplastron bubali","Elyplastron bubali","yes","valid only in one paper","","Obanda, V., Gakuya, F., Lekolool, I., Chege, S., Okita, B., & Manyibe, T. ","Obanda, V., Gakuya, F., Lekolool, I., Chege, S., Okita, B., & Manyibe, T. (2008). Ciliated intestinal protozoa of black (Diceros bicornis michaeli) and white rhinoceroses (Ceratotherium simum simum) in Kenya. African Journal of Ecology, 46(2), 144-148.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"22","Entodinium bicornutum","y","Entodinium bicornutum","Entodinium bicornutum","Entodinium bicornutum","yes","valid in papers","","Belanche, A., De la Fuente, G., Moorby, J. M., & Newbold, C. J. ","Belanche, A., De la Fuente, G., Moorby, J. M., & Newbold, C. J. (2012). Bacterial protein degradation by different rumen protozoal groups. Journal of animal science, 90(12), 4495-4504.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"23","Entodinium bursa","y","Entodinium bursa","Entodinium bursa","Entodinium bursa","yes","valid name in NCBI","","NCBI 358014","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
