Sample Name	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]
Camelus bactrianus	Species-Species Interactions	Camelus bactrianus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Bos taurus	Species-Species Interactions	Bos taurus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Bos indicus	Species-Species Interactions	Bos indicus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Bison bonasus	Species-Species Interactions	Bison bonasus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Bison bison	Species-Species Interactions	Bison bison_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Lama pacos	Species-Species Interactions	Lama pacos_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Meleagris gallopavo	Species-Species Interactions	Meleagris gallopavo_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Sus scrofa domesticus	Species-Species Interactions	Sus scrofa domesticus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Meriones unguiculatus	Species-Species Interactions	Meriones unguiculatus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Mesocricetus auratus	Species-Species Interactions	Mesocricetus auratus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Mus musculus	Species-Species Interactions	Mus musculus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Mus musculus domesticus	Species-Species Interactions	Mus musculus domesticus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Mustela putorius furo	Species-Species Interactions	Mustela putorius furo_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
