Sample Name	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]
liberia	Species-Location Interactions	liberia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
ivory coast	Species-Location Interactions	ivory coast_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
nigeria	Species-Location Interactions	nigeria_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
burkina faso	Species-Location Interactions	burkina faso_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
gambia	Species-Location Interactions	gambia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
guinea	Species-Location Interactions	guinea_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
chad	Species-Location Interactions	chad_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
tunisia	Species-Location Interactions	tunisia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
spain	Species-Location Interactions	spain_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
morocco	Species-Location Interactions	morocco_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
denmark	Species-Location Interactions	denmark_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
iceland	Species-Location Interactions	iceland_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
united kingdom	Species-Location Interactions	united kingdom_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
switzerland	Species-Location Interactions	switzerland_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
sweden	Species-Location Interactions	sweden_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
netherlands	Species-Location Interactions	netherlands_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
austria	Species-Location Interactions	austria_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
belgium	Species-Location Interactions	belgium_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
germany	Species-Location Interactions	germany_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
italy	Species-Location Interactions	italy_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
angola	Species-Location Interactions	angola_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
namibia	Species-Location Interactions	namibia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
suriname	Species-Location Interactions	suriname_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
greenland	Species-Location Interactions	greenland_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
brazil	Species-Location Interactions	brazil_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
cuba	Species-Location Interactions	cuba_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
ireland	Species-Location Interactions	ireland_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
france	Species-Location Interactions	france_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
bosnia and herzegovina	Species-Location Interactions	bosnia and herzegovina_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
antigua and barbuda	Species-Location Interactions	antigua and barbuda_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
saint lucia	Species-Location Interactions	saint lucia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
aruba	Species-Location Interactions	aruba_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
saint vincent and the grenadines	Species-Location Interactions	saint vincent and the grenadines_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
guatemala	Species-Location Interactions	guatemala_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
