ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,ParasiteCorrectedName.updated,ParasiteReportedName,XC_ZooScore,Type,ParPhylum,ParClass,ParOrder,ParFamily,intra_extra,spec_confd_int,ref_int,site_raw,site_system,spec_confd_site,ref_site,geo_dist,spec_confd_geo,ref_geo,dom_host,spec_confd_dom_host,ref_dom_host,dom_hostname,spec_confd_dom_hostname,ref_dom_hostname,flagella,spec_confd_flag,ref_flag,cyst,spec_confd_cyst,ref_cyst,sexual,spec_confd_sex,ref_sex,transmission,spec_confd_trans,ref_trans,other_host,spec_confd_other,ref_other,note
Trypanosoma diasi,Trypanosoma diasi,Trypanosoma diasi,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma evansi,Trypanosoma evansi,Trypanosoma evansi,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,yes,species,Gutteridge & Coombs 1977,camels,species,Gutteridge & Coombs 1977,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma hippicum,Trypanosoma hippicum,Trypanosoma hippicum,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma irangiense,Trypanosoma irangiense,Trypanosoma irangiense,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma lambrechti,Trypanosoma lambrechti,Trypanosoma lambrechti,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma lesourdi,Trypanosoma lesourdi,Trypanosoma lesourdi,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma minasense,Trypanosoma minasense,Trypanosomes minasense,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma mycetae,Trypanosoma mycetae,Trypanosomes mycetae,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma perodictici,Trypanosoma perodictici,Trypanosoma perodictici,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma pestanai,Trypanosoma pestanai,Trypanosoma pestanai,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma primatum,Trypanosoma primatum,Trypanosoma primatum,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma rangeli,Trypanosoma rangeli,Trypanosoma saimirii-like,1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma sanmartini,Trypanosoma sanmartini,Trypanosoma sanmartini,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma simiae,Trypanosoma simiae,Trypanosoma simiae,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma theileri,Trypanosoma theileri,Trypanosoma theileri,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,yes,species,"not sure, red cover, photo taken in May","domestic cattle, other domesticated and wild bovids",species,same,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma venezuelense,Trypanosoma venezuelense,Trypanosoma venezuelense,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma vivax,Trypanosoma vivax,Trypansoma vivax,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,yes,species,Gutteridge & Coombs 1977,"game animals, cattle",species,Gutteridge & Coombs 1977,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
