Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Protocol REF	Sample Name
GeoNames or MESH database				Thailand	GAZ	GAZ:00003744	Data Repositories	thailand
GeoNames or MESH database				China	GAZ	GAZ:00002845	Data Repositories	china
GeoNames or MESH database				Afghanistan	GAZ	GAZ:00006882	Data Repositories	afghanistan
GeoNames or MESH database				Myanmar	GAZ	GAZ:00006899	Data Repositories	myanmar
GeoNames or MESH database				Aland Province	GAZ	GAZ:00003609	Data Repositories	aland islands
GeoNames or MESH database				Albania	GAZ	GAZ:00002953	Data Repositories	albania
GeoNames or MESH database				Sri Lanka	GAZ	GAZ:00003924	Data Repositories	sri lanka
GeoNames or MESH database				Romania	GAZ	GAZ:00002951	Data Repositories	romania
GeoNames or MESH database				Zambia	GAZ	GAZ:00001107	Data Repositories	zambia
GeoNames or MESH database				Comoros	GAZ	GAZ:00005820	Data Repositories	comoros
GeoNames or MESH database				Malawi	GAZ	GAZ:00001105	Data Repositories	malawi
GeoNames or MESH database				Hong Kong	GAZ	GAZ:00003203	Data Repositories	hong kong
GeoNames or MESH database				South Korea	GAZ	GAZ:00002802	Data Repositories	south korea
GeoNames or MESH database				Japan	GAZ	GAZ:00002747	Data Repositories	japan
GeoNames or MESH database				Russia	GAZ	GAZ:00002721	Data Repositories	russia
GeoNames or MESH database				Australia	GAZ	GAZ:00000463	Data Repositories	australia
GeoNames or MESH database				Papua New Guinea	GAZ	GAZ:00003922	Data Repositories	papua new guinea
GeoNames or MESH database				New Zealand	GAZ	GAZ:00000469	Data Repositories	new zealand
GeoNames or MESH database				Cameroon	GAZ	GAZ:00001093	Data Repositories	cameroon
GeoNames or MESH database				Senegal	GAZ	GAZ:00000913	Data Repositories	senegal
GeoNames or MESH database				Portuguese Republic 	GAZ	GAZ:00002944	Data Repositories	portugal
GeoNames or MESH database				Liberia	GAZ	GAZ:00000911	Data Repositories	liberia
GeoNames or MESH database				Cote d'Ivoire	GAZ	GAZ:00000906	Data Repositories	ivory coast
GeoNames or MESH database				Nigeria	GAZ	GAZ:00000912	Data Repositories	nigeria
GeoNames or MESH database				Burkina Faso	GAZ	GAZ:00000905	Data Repositories	burkina faso
GeoNames or MESH database				Gambia	GAZ	GAZ:00000907	Data Repositories	gambia
GeoNames or MESH database				Guinea	GAZ	GAZ:00000909	Data Repositories	guinea
GeoNames or MESH database				Chad	GAZ	GAZ:00000586	Data Repositories	chad
GeoNames or MESH database				Tunisia	GAZ	GAZ:00000562	Data Repositories	tunisia
GeoNames or MESH database				Spain	GAZ	GAZ:00000591	Data Repositories	spain
GeoNames or MESH database				Morocco	GAZ	GAZ:00000565	Data Repositories	morocco
GeoNames or MESH database				Denmark	GAZ	GAZ:00002635	Data Repositories	denmark
GeoNames or MESH database				Iceland	GAZ	GAZ:00000843	Data Repositories	iceland
GeoNames or MESH database				United Kingdom	GAZ	GAZ:00002637	Data Repositories	united kingdom
GeoNames or MESH database				Switzerland	GAZ	GAZ:00002941	Data Repositories	switzerland
