,parname,parcommsize,propparcommzoon,prophostzoon
47,Eimeria furonis,4,0.25,0
48,Eimeria hreindyria,33,0.151515152,1
49,Eimeria ictidea,4,0.25,0
50,Eimeria kamoshika,16,0.3125,0.5
51,Eimeria macusaniensis,3,0.333333333,0
52,Eimeria madisonensis,65,0.123076923,1
53,Eimeria mayeri,33,0.151515152,0.333333333
54,Eimeria mccordocki,65,0.123076923,1
55,Eimeria melis,34,0.235294118,0.041666667
56,Eimeria mephitidis,7,0.142857143,0
57,Eimeria nuttalli,138,0.217391304,0.333333333
58,Eimeria odocoilei,65,0.123076923,1
59,Eimeria pachylepyron,5,0,0
60,Eimeria rangiferis,33,0.151515152,0.5
61,Eimeria serowi,16,0.3125,1
62,Eimeria vulpis,11,0.545454545,1
63,Eimeria zuernii,33,0.303030303,1
64,Elyplastron bubali,52,0.096153846,0.5
65,Endolimax nana,165,0.303030303,0.608695652
66,Entamoeba chattoni,102,0.343137255,0.5
67,Entamoeba coli,214,0.26635514,0.234782609
68,Entamoeba dispar,22,0.409090909,1
69,Entamoeba hartmanni,232,0.318965517,0.472222222
70,Entamoeba histolytica,203,0.275862069,0.239583333
71,Entamoeba polecki,38,0.368421053,1
72,Entodinium bicornutum,54,0.092592593,0.666666667
73,Entodinium bursa,52,0.096153846,0.5
74,Entodinium caudatum,54,0.092592593,0.666666667
75,Entodinium dubardi,54,0.092592593,0.666666667
76,Entodinium furca,54,0.092592593,1
77,Entodinium minimum,54,0.092592593,0.666666667
78,Entodinium rectangulatum,54,0.092592593,0.666666667
79,Entopolypoides macaci,78,0.371794872,0.8
80,Epidinium bulbiferum,54,0.092592593,0.666666667
81,Epidinium caudatum,52,0.096153846,0.5
82,Epidinium gigas,54,0.092592593,0.666666667
83,Eudiplodinium maggi,54,0.092592593,0.666666667
84,Giardia intestinalis,370,0.197297297,0.36
85,Hepatocystis cercopitheci,39,0.358974359,0.25
86,Hepatocystis foleyi,6,0.166666667,0
87,Hepatocystis kochi,122,0.31147541,0.517241379
88,Hepatocystis semnopitheci,30,0.366666667,0.666666667
89,Hepatocystis simiae,82,0.317073171,0.555555556
90,Hepatocystis taiwanensis,7,0.428571429,1
91,Hepatozoon americanum,89,0.247191011,1
92,Hepatozoon canis,123,0.357723577,0.428571429
93,Hepatozoon procyonis,139,0.215827338,0.25
94,Iodamoeba butschlii,199,0.261306533,0.388888889
95,Isospora arctopitheci,10,0.2,1
96,Isospora cebi,9,0.333333333,0.5
97,Isospora endocallimici,2,0,0
98,Isospora lutrae,49,0.244897959,1
99,Isospora melis,34,0.235294118,0.111111111
100,Isospora papionis,42,0.476190476,0.25
101,Isospora saimirae,29,0.103448276,1
102,Isospora sengeri,7,0.142857143,0
103,Isospora spilogales,7,0.142857143,0
104,Isospora vulpis,103,0.339805825,1
105,Leishmania braziliensis,10,0.2,1
106,Leishmania chagasi,12,0.416666667,0.25
107,Leishmania donovani,11,0.545454545,0.333333333
108,Leishmania infantum,147,0.326530612,0.35
109,Leishmania shawi,15,0.2,1
110,Metadinium medium,54,0.092592593,0.666666667
111,Neospora caninum,593,0.187183811,0.307017544
112,Ostracodinium gracile,52,0.096153846,1
113,Ostracodinium mammosum,52,0.096153846,0.5
