"","parname","ProportionalGenerality","ParasiteCloseness","ParasiteBetweenness","HostProportionalGenerality","HostBetweenness"
"22","Chilomastix mesnili",0.0737262404098582,0.000591463075389221,0.00310266849199784,0.0271302286169416,0.014062476663154
"23","Cryptosporidium parvum",0.0783341304354744,0.000718807678647381,0.00301346283777686,0.0680373411550127,0.0228360092897662
"24","Cycloposthium bipalmatum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"25","Cycloposthium corrugatum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"26","Cycloposthium dentiferum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"27","Cycloposthium edentatum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"28","Cycloposthium scutigerum",0.0138236700768484,0.000540851758709695,2.84292882238637e-05,0.0513035887221995,0.00193840853198081
"29","Cyclospora cayetanensis",0.00460789002561614,0.0004468126670729,0,0.0230405338572752,0.000672885049358672
"30","Cyclospora cercopitheci",0.00460789002561614,0.000454749029455442,0,0.0239621552115663,0.0071524288645439
"31","Cyclospora colobi",0.00460789002561614,0.000427538644143869,0,0.0156675630229472,0.000746387202778176
"32","Cyclospora papionis",0.00921578005123228,0.000506412481033681,3.52874741774196e-07,0.0345608007859129,0.00366849885180389
"33","Cystoisospora belli",0.00460789002561614,0.000495183662028439,0,0.00829459218861909,0.000222228260915141
"34","Cystoisospora canis",0.00921578005123228,0.000556815184759151,2.2374304279161e-06,0.107368887774902,0.0500740538919907
"35","Cystoisospora felis",0.0368631202049291,0.000582755752089517,3.54945700101728e-05,0.0527628225331602,0.015403059271887
"36","Cystoisospora ohioensis",0.00460789002561614,0.000523255709541545,0,0.0792594364690268,0.00239040093922541
"37","Cytauxzoon felis",0.0138236700768484,0.00053776791504105,6.09285582525828e-07,0.0506891744860055,0.0119325845833879
"38","Cytauxzoon manul",0.00460789002561614,0.000359757574332741,0,0.00184324270858202,0
"39","Dientamoeba fragilis",0.0276473401536968,0.00051729663515831,2.90666059635884e-06,0.0213508947077417,0.00163833572323356
"40","Diplodinium anacanthum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"41","Diplodinium dentatum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"42","Diploplastron affine",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"43","Eimeria auburnensis",0.00460789002561614,0.000505115452667163,0,0.0322567474001853,0.000388930680965736
"44","Eimeria bovis",0.00460789002561614,0.000505115452667163,0,0.0322567474001853,0.000388930680965736
"45","Eimeria crispus",0.00460789002561614,0.000494866207533137,0,0.0211972911486932,0.00159403947940813
"46","Eimeria felina",0.00921578005123228,0.000498721012118943,2.43962784436481e-07,0.0253445872430028,0.0037355639876406
"47","Eimeria furonis",0.00460789002561614,0.000448626692760338,0,0.00460810677145505,4.16324856525087e-07
"48","Eimeria hreindyria",0.00460789002561614,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05
"49","Eimeria ictidea",0.00460789002561614,0.000448626692760338,0,0.00460810677145505,4.16324856525087e-07
"50","Eimeria kamoshika",0.00921578005123228,0.000494866207533137,0,0.0110594562514921,0.000797019739704065
"51","Eimeria macusaniensis",0.00460789002561614,0.000369680294843028,0,0.00368648541716404,0
"52","Eimeria madisonensis",0.00460789002561614,0.000530874617428785,0,0.0847891645947729,0.00694997549363207
"53","Eimeria mayeri",0.00460789002561614,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05
"54","Eimeria mccordocki",0.00460789002561614,0.000530874617428785,0,0.0847891645947729,0.00694997549363207
"55","Eimeria melis",0.00460789002561614,0.000504208439823444,0,0.0433162036516774,0.00011896374638878
