"","protname","prot_degree","prot_normalised.degree","prot_species.specificity.index","prot_betweenness","prot_weighted.betweenness","prot_closeness","prot_weighted.closeness","prot_proportional.generality","mean_host_degree","mean_host_normalised.degree","mean_host_species.specificity.index","mean_host_betweenness","mean_host_weighted.betweenness","mean_host_closeness","mean_host_weighted.closeness","mean_host_proportional.generality"
"13","Babesia rossi",1,0.00223713646532438,1,0,0,0.000457923574408458,0.000201124927586981,0.00460789002561614,10,0.005005005005005,0.315514379998724,0.00318692977179005,4.69406275732036e-05,0.00270622599337188,0.00121394771691644,0.00921621354291009
"14","Balantidium aragaoi",1,0.00223713646532438,1,0,0,0.000439601914965333,0.000195412107327654,0.00460789002561614,21,0.0105105105105105,0.217122411980212,0.00334623982602238,4.17708689570914e-05,0.00265459405007729,0.00116233842635266,0.0193540484401112
"15","Balantidium coli",18,0.0402684563758389,0.231166535456794,0.00801343293750611,0.00255959367205303,0.000600805307679527,0.000365052171080542,0.0829420204610905,26.9444444444444,0.0134857079301524,0.252619598625126,0.00789587359307891,0.00810677176573162,0.00271794703797037,0.00121548655396143,0.0248325753795078
"16","Besnoitia tarandi",1,0.00223713646532438,1,0,0,0.000499310570467361,0.000204357512511134,0.00460789002561614,40,0.02002002002002,0.156562344296057,0.00358264780007822,2.62284659610805e-05,0.00299287229924877,0.00142479928985921,0.0368648541716404
"17","Blastocystis hominis",6,0.0134228187919463,0.405953453339206,0.00128524021448005,2.96924658607522e-05,0.000547110147331357,0.000297592775458977,0.0276473401536968,27.6666666666667,0.0138471805138472,0.230643927728872,0.00998111060740188,0.0169184581805982,0.00273070665614087,0.00122083479824322,0.0254981908020513
"18","Chilomastix mesnili",16,0.0357941834451902,0.24576000907955,0.00481255734897729,0.00310266849199784,0.000591463075389221,0.000363278061928183,0.0737262404098582,29.4375,0.0147334834834835,0.224678426703893,0.00852918355343627,0.014062476663154,0.00272030237446405,0.00125859591216495,0.0271302286169416
"19","Cryptosporidium parvum",17,0.0380313199105145,0.238145477107897,0.00987298673868653,0.00301346283777686,0.000718807678647381,0.000424206081197283,0.0783341304354744,73.8235294117647,0.0369487134193017,0.165659083809238,0.0121826915267008,0.0228360092897662,0.00301460379668007,0.00143194454122197,0.0680373411550127
"20","Cyclospora cercopitheci",1,0.00223713646532438,1,0,0,0.000454749029455442,0.000200774332519933,0.00460789002561614,26,0.013013013013013,0.194884701794593,0.0102419522530722,0.0071524288645439,0.00284153729304048,0.00130798892920456,0.0239621552115663
"21","Cyclospora colobi",1,0.00223713646532438,1,0,0,0.000427538644143869,0.000195589069076898,0.00460789002561614,17,0.00850850850850851,0.241562071181929,0.00364898864169143,0.000746387202778176,0.00254776933981261,0.00127225913360423,0.0156675630229472
"22","Cyclospora papionis",2,0.00447427293064877,0.706313615730871,2.37395785706632e-05,3.52874741774196e-07,0.000506412481033681,0.00025709027365461,0.00921578005123228,37.5,0.0187687687687688,0.17381858331187,0.00687741550576185,0.00366849885180389,0.00276898551065238,0.00134917782242824,0.0345608007859129
"23","Cystoisospora canis",2,0.00447427293064877,0.706313615730871,2.99961046393356e-05,2.2374304279161e-06,0.000556815184759151,0.00028508193379457,0.00921578005123228,116.5,0.0583083083083083,0.0924596655562781,0.0131130422004062,0.0500740538919907,0.00318248615996858,0.00153751161965874,0.107368887774902
"24","Cystoisospora felis",8,0.0178970917225951,0.350767895611797,0.000374513316778916,3.54945700101728e-05,0.000582755752089517,0.00039711193335337,0.0368631202049291,57.25,0.0286536536536536,0.14922624518674,0.00780270047165008,0.015403059271887,0.00299999394659975,0.00146269567569073,0.0527628225331602
"25","Cystoisospora ohioensis",1,0.00223713646532438,1,0,0,0.000523255709541545,0.00020434029337357,0.00460789002561614,86,0.043043043043043,0.105512930665269,0.00835211470365179,0.00239040093922541,0.00312462277524188,0.00152073549568475,0.0792594364690268
"26","Cytauxzoon felis",3,0.00671140939597315,0.57605430735515,4.41207102391098e-05,6.09285582525828e-07,0.00053776791504105,0.000322542287484956,0.0138236700768484,55,0.0275275275275275,0.134022368338113,0.00837479182649244,0.0119325845833879,0.00300652212333815,0.00146961771207114,0.0506891744860055
"27","Cytauxzoon manul",1,0.00223713646532438,1,0,0,0.000359757574332741,0.000186974698802814,0.00460789002561614,2,0.001001001001001,0.706929716758784,0,0,0.00194509993273604,0.000578411274078603,0.00184324270858202
"28","Dientamoeba fragilis",6,0.0134228187919463,0.405953453339206,0.000114864552246987,2.90666059635884e-06,0.00051729663515831,0.000332197475679776,0.0276473401536968,23.1666666666667,0.0115949282615949,0.22491182977729,0.0037680779933167,0.00163833572323356,0.00261943091628183,0.00129527952348028,0.0213508947077417
"29","Eimeria auburnensis",1,0.00223713646532438,1,0,0,0.000505115452667163,0.000203972761354034,0.00460789002561614,35,0.0175175175175175,0.167585753033445,0.00335372635926688,0.000388930680965736,0.00285578058774243,0.00143982831652362,0.0322567474001853
"30","Eimeria bovis",1,0.00223713646532438,1,0,0,0.000505115452667163,0.000203972761354034,0.00460789002561614,35,0.0175175175175175,0.167585753033445,0.00335372635926688,0.000388930680965736,0.00285578058774243,0.00143982831652362,0.0322567474001853
"31","Eimeria felina",2,0.00447427293064877,0.706313615730871,6.24886008174669e-06,2.43962784436481e-07,0.000498721012118943,0.00028059295254275,0.00921578005123228,27.5,0.0137637637637638,0.196789579130981,0.00516075626260591,0.0037355639876406,0.00285934141141792,0.0014176181824689,0.0253445872430028
