"","parname","ProtType","Intracellular","HasDomesticHost","SexualReproduction","NumOrganSystems"
"203","Troglodytella abrassarti","Ciliate",NA,NA,NA,NA
"204","Trypanosoma brucei","Flagellate",0,1,1,3
"205","Trypanosoma cervi","Flagellate",0,NA,0,3
"206","Trypanosoma congolense","Flagellate",0,1,0,3
"207","Trypanosoma cruzi","Flagellate",0,NA,0,3
"208","Trypanosoma cyclops","Flagellate",0,NA,0,3
"209","Trypanosoma devei","Flagellate",0,NA,0,3
"210","Trypanosoma diasi","Flagellate",0,NA,0,3
"211","Trypanosoma evansi","Flagellate",0,1,0,3
"212","Trypanosoma hippicum","Flagellate",0,NA,0,3
"213","Trypanosoma irangiense","Flagellate",0,NA,0,3
"214","Trypanosoma lambrechti","Flagellate",0,NA,0,3
"215","Trypanosoma lesourdi","Flagellate",0,NA,0,3
"216","Trypanosoma minasense","Flagellate",0,NA,0,3
"217","Trypanosoma mycetae","Flagellate",0,NA,0,3
"218","Trypanosoma perodictici","Flagellate",0,NA,0,3
"219","Trypanosoma pestanai","Flagellate",0,NA,0,3
"220","Trypanosoma primatum","Flagellate",0,NA,0,3
"221","Trypanosoma rangeli","Flagellate",0,NA,0,3
"222","Trypanosoma sanmartini","Flagellate",0,NA,0,3
"223","Trypanosoma simiae","Flagellate",0,NA,0,3
"224","Trypanosoma theileri","Flagellate",0,1,0,3
"225","Trypanosoma venezuelense","Flagellate",0,NA,0,3
"226","Trypanosoma vivax","Flagellate",0,1,0,3
